Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.092800,0.000000,0
Solver,9.895100,93.564773,9.25833e+08
Solver Cleanup,0.033200,0.000000,0
Matvec,0.328000,627.435171,2.05799e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.075100,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.544800,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.690600,0.000000,0
SubsrfSim,0.002300,0.000000,0
Porosity,0.000400,0.000000,0
PhaseRelPerm,2.998800,0.000096,289
MGSemi,0.925900,750.655480,6.95032e+08
NL_F_Eval,4.832700,0.000043,209
KINSol,8.080300,114.579011,9.25833e+08
Total Runtime,10.032300,-nan,0
